index	iteration	Hit	cl_from	cl_to	Prob_ihh	Prob_hh	Eval_hh	Len_hh	prot_id_segment_id
3	2	PF00445.15	296	355	95.6	92.8	0.0064	60	NC_002032_NP_044731.1
3	2	PF00445.15	293	352	96.2	94	0.0022	60	NC_002657_NP_075354.1
1	2	PF11963.5	103	197	95.4	93.3	0.0044	95	NC_003436_NP_598309.2
4	2	PF12381.5	2020	2202	96.2	94.5	0.0013	183	NC_003628_NP_619734.1
12	2	PF14314.3	2568	2735	96	91.3	0.016	167	NC_003687_NP_620099.1
4	2	PF01728.16	2552	2606	96.8	94.5	0.0012	55	NC_003996_NP_658908.1
3	2	PF12267.5	665	751	97.2	95	0.00061	87	NC_004724_NP_835244.2
1	2	PF01003.16	59	109	97.7	96.4	1.8e-05	50	NC_005039_NP_872627.1
12	2	PF14314.3	2648	2734	96.3	92.3	0.0091	198	NC_005062_NP_878909.1
2	3	PF00201.15	3107	3169	96.3	93.8	0.0029	64	NC_007069_YP_241110.1
3	4	PF00201.15	3107	3170	96.7	93.8	0.0029	64	NC_007069_YP_241110.1
6	2	PF06460.9	6488	6651	95.7	91.7	0.013	164	NC_007447_YP_337905.2
1	4	PF07021.9	1420	1496	96.4	90.6	0.021	78	NC_008516_YP_803213.1
2	5	PF13679.3	1420	1523	96.4	91	0.018	103	NC_008516_YP_803213.1
3	5	PF01661.18	1665	1811	96.2	91.5	0.014	131	NC_008516_YP_803213.1
4	4	PF01661.18	1669	1797	96.1	91.5	0.014	131	NC_008516_YP_803213.1
5	2	PF00548.17	3475	3605	95.3	88.4	0.045	131	NC_008516_YP_803213.1
10	2	PF06460.9	6633	6802	96.5	94.4	0.0015	170	NC_008516_YP_803213.1
1	2	PF07021.9	1420	1496	96.4	92.2	0.0093	78	NC_008516_YP_803214.1
2	3	PF13679.3	1420	1523	96.4	92.6	0.0077	103	NC_008516_YP_803214.1
3	3	PF01661.18	1665	1811	96.2	92.9	0.0061	131	NC_008516_YP_803214.1
4	2	PF01661.18	1669	1797	96.1	92.9	0.0061	131	NC_008516_YP_803214.1
5	3	PF00548.17	3475	3605	95.5	90.7	0.02	146	NC_008516_YP_803214.1
6	3	PF09401.7	4414	4537	95.1	89.6	0.031	125	NC_008516_YP_803214.1
1	3	PF11963.5	101	193	95.2	90.5	0.022	93	NC_009988_YP_001552234.1
1	3	PF11963.5	101	193	95.2	90.7	0.02	93	NC_009988_YP_001552235.1
3	3	PF16251.2	1464	1536	95.1	88.1	0.05	73	NC_010646_YP_001876435.1
3	3	PF16251.2	1464	1536	95.1	90	0.027	73	NC_010646_YP_001876436.1
13	2	PF14314.3	2555	2725	95.2	87.4	0.06	172	NC_012735_YP_002922020.1
2	3	PF00201.15	3453	3582	96.5	92.7	0.0069	130	NC_013447_YP_003280846.1
3	4	PF00201.15	3454	3582	96.4	92.7	0.0069	130	NC_013447_YP_003280846.1
3	2	PF09416.7	3609	3672	95.3	90.1	0.026	64	NC_015668_YP_004598981.2
3	4	PF03033.17	3044	3094	95.8	89.1	0.037	51	NC_015781_YP_004765011.1
3	3	PF09416.7	3613	3676	95.1	88.2	0.049	64	NC_015874_YP_004767305.1
13	2	PF01728.16	2582	2634	96.7	93.7	0.0031	53	NC_017086_YP_005454257.1
3	2	PF00445.15	294	353	95.7	93.2	0.005	60	NC_018713_YP_006860588.1
3	2	PF09416.7	3613	3676	95.6	91.9	0.011	64	NC_020899_YP_007697629.1
3	2	PF09416.7	3585	3648	96	93.2	0.0049	64	NC_020900_YP_007697636.1
3	2	PF09416.7	3611	3676	96	93.1	0.005	66	NC_020901_YP_007697642.1
5	2	PF06471.9	4322	4612	95.4	92	0.01	289	NC_020901_YP_007697642.1
7	2	PF08301.10	2353	2443	96.3	94.5	0.0012	91	NC_021154_YP_007905734.1
2	4	PF13423.3	1793	1871	95.3	83.3	0.14	21	NC_022787_YP_008798230.1
3	2	PF02122.12	3138	3283	96.6	93.8	0.0028	146	NC_022787_YP_008798230.1
8	2	PF06460.9	6461	6623	96	92.8	0.0067	163	NC_022787_YP_008798230.1
2	4	PF13423.3	1793	1871	95.3	86.3	0.078	21	NC_022787_YP_008798231.1
3	2	PF02122.12	3138	3283	96.6	94.5	0.0013	146	NC_022787_YP_008798231.1
3	2	PF12264.5	2583	2770	96.1	93.6	0.0036	188	NC_023638_YP_009010972.1
3	2	PF09416.7	3589	3653	96.3	94.2	0.0019	65	NC_023986_YP_009026378.1
1	2	PF15663.2	1386	1456	95.1	93.4	0.0041	71	NC_024709_YP_009052475.1
2	2	PF00069.22	2343	2479	95.1	93.6	0.0035	137	NC_024709_YP_009052475.1
7	2	PF06460.9	7873	8036	96.1	93.3	0.0045	164	NC_024709_YP_009052475.1
1	2	PF15663.2	1386	1458	97.4	94.3	0.0017	71	NC_024709_YP_009052476.1
2	3	PF15663.2	1386	1458	97.3	94.3	0.0017	71	NC_024709_YP_009052476.1
3	3	PF00069.22	2339	2478	96.7	94.3	0.0016	137	NC_024709_YP_009052476.1
4	2	PF13489.3	3324	3405	95.6	86.5	0.075	82	NC_024709_YP_009052476.1
13	2	PF01728.16	2581	2633	97	94.6	0.0011	53	NC_024806_YP_009056848.1
4	2	PF12124.5	1608	1675	96.8	88.3	0.048	68	NC_025217_YP_009072438.1
