"","index","prot_id_segment_id","Hit","Prob_ihh","Prob_hh","Prob_seq"
"1",3,"NC_002032_NP_044731.1","PF00445.15",95.6,92.8,97.2
"2",3,"NC_002657_NP_075354.1","PF00445.15",96.2,94,97.5
"3",1,"NC_003436_NP_598309.2","PF11963.5",95.4,93.3,97.2
"4",4,"NC_003628_NP_619734.1","PF12381.5",96.2,94.5,97
"5",12,"NC_003687_NP_620099.1","PF14314.3",96,91.3,96.4
"6",4,"NC_003996_NP_658908.1","PF01728.16",96.8,94.5,97.5
"7",3,"NC_004724_NP_835244.2","PF12267.5",97.2,95,97.5
"8",1,"NC_005039_NP_872627.1","PF01003.16",97.7,96.4,97.6
"9",12,"NC_005062_NP_878909.1","PF14314.3",96.3,92.3,62.8
"10",2,"NC_007069_YP_241110.1","PF00201.15",96.3,93.8,97.2
"11",3,"NC_007069_YP_241110.1","PF00201.15",96.7,93.8,97.3
"12",6,"NC_007447_YP_337905.2","PF06460.9",95.7,91.7,97
"13",1,"NC_008516_YP_803213.1","PF07021.9",96.4,90.6,97.2
"14",2,"NC_008516_YP_803213.1","PF13679.3",96.4,91,97.1
"15",3,"NC_008516_YP_803213.1","PF01661.18",96.2,91.5,96.7
"16",4,"NC_008516_YP_803213.1","PF01661.18",96.1,91.5,96.6
"17",5,"NC_008516_YP_803213.1","PF00548.17",95.3,88.4,95.7
"18",10,"NC_008516_YP_803213.1","PF06460.9",96.5,94.4,97.4
"19",1,"NC_008516_YP_803214.1","PF07021.9",96.4,92.2,97.2
"20",2,"NC_008516_YP_803214.1","PF13679.3",96.4,92.6,97.1
"21",3,"NC_008516_YP_803214.1","PF01661.18",96.2,92.9,96.7
"22",4,"NC_008516_YP_803214.1","PF01661.18",96.1,92.9,96.6
"23",5,"NC_008516_YP_803214.1","PF00548.17",95.5,90.7,95.7
"24",6,"NC_008516_YP_803214.1","PF09401.7",95.1,89.6,95
"25",1,"NC_009988_YP_001552234.1","PF11963.5",95.2,90.5,96.4
"26",1,"NC_009988_YP_001552235.1","PF11963.5",95.2,90.7,96.4
"27",3,"NC_010646_YP_001876435.1","PF16251.2",95.1,88.1,96.4
"28",3,"NC_010646_YP_001876436.1","PF16251.2",95.1,90,96.4
"29",13,"NC_012735_YP_002922020.1","PF14314.3",95.2,87.4,95.6
"30",2,"NC_013447_YP_003280846.1","PF00201.15",96.5,92.7,96.9
"31",3,"NC_013447_YP_003280846.1","PF00201.15",96.4,92.7,97
"32",3,"NC_015668_YP_004598981.2","PF09416.7",95.3,90.1,96.7
"33",3,"NC_015781_YP_004765011.1","PF03033.17",95.8,89.1,96.2
"34",3,"NC_015874_YP_004767305.1","PF09416.7",95.1,88.2,96.5
"35",13,"NC_017086_YP_005454257.1","PF01728.16",96.7,93.7,96.4
"36",3,"NC_018713_YP_006860588.1","PF00445.15",95.7,93.2,97.3
"37",3,"NC_020899_YP_007697629.1","PF09416.7",95.6,91.9,96.9
"38",3,"NC_020900_YP_007697636.1","PF09416.7",96,93.2,97.3
"39",3,"NC_020901_YP_007697642.1","PF09416.7",96,93.1,97
"40",5,"NC_020901_YP_007697642.1","PF06471.9",95.4,92,96.3
"41",7,"NC_021154_YP_007905734.1","PF08301.10",96.3,94.5,97.4
"42",2,"NC_022787_YP_008798230.1","PF13423.3",95.3,83.3,96.6
"43",3,"NC_022787_YP_008798230.1","PF02122.12",96.6,93.8,97.2
"44",8,"NC_022787_YP_008798230.1","PF06460.9",96,92.8,97.2
"45",2,"NC_022787_YP_008798231.1","PF13423.3",95.3,86.3,96.6
"46",3,"NC_022787_YP_008798231.1","PF02122.12",96.6,94.5,97.2
"47",3,"NC_023638_YP_009010972.1","PF12264.5",96.1,93.6,96.6
"48",3,"NC_023986_YP_009026378.1","PF09416.7",96.3,94.2,97.4
"49",1,"NC_024709_YP_009052475.1","PF15663.2",95.1,93.4,97.7
"50",2,"NC_024709_YP_009052475.1","PF00069.22",95.1,93.6,97.2
"51",7,"NC_024709_YP_009052475.1","PF06460.9",96.1,93.3,97.1
"52",1,"NC_024709_YP_009052476.1","PF15663.2",97.4,94.3,97.6
"53",2,"NC_024709_YP_009052476.1","PF15663.2",97.3,94.3,97.6
"54",3,"NC_024709_YP_009052476.1","PF00069.22",96.7,94.3,97.2
"55",4,"NC_024709_YP_009052476.1","PF13489.3",95.6,86.5,95.6
"56",13,"NC_024806_YP_009056848.1","PF01728.16",97,94.6,96.5
"57",4,"NC_025217_YP_009072438.1","PF12124.5",96.8,88.3,97
"58",7,"NC_025679_YP_009109602.1","PF08301.10",96.6,94.3,97.4
"59",3,"NC_026011_YP_009113022.1","PF12124.5",97.5,94.2,97.9
"60",4,"NC_026439_YP_009118960.1","PF14756.3",96.4,93.6,96.6
